100  -0.36000  -0.36000
200  -0.52000  -0.52000
300  -0.45000  -0.45000
400  -0.52000  -0.52000
500  -0.55000  -0.55000
600  -0.52000  -0.52000
700  -0.44000  -0.44000
800  -0.42000  -0.42000
900  -0.42000  -0.42000
1000  -0.44000  -0.44000
1100  -0.38000  -0.38000
1200  -0.46000  -0.46000
1300  -0.43000  -0.43000
1400  -0.49000  -0.49000
1500  -0.40000  -0.40000
1600  -0.39000  -0.39000
1700  -0.37000  -0.37000
1800  -0.46000  -0.46000
1900  -0.41000  -0.41000
2000  -0.44000  -0.44000
2100  -0.53000  -0.53000
2200  -0.36000  -0.36000
2300  -0.55000  -0.55000
2400  -0.46000  -0.46000
2500  -0.52000  -0.52000
2600  -0.47000  -0.47000
2700  -0.45000  -0.45000
2800  -0.43000  -0.43000
2900  -0.50000  -0.50000
3000  -0.44000  -0.44000
3100  -0.52000  -0.52000
3200  -0.44000  -0.44000
3300  -0.43000  -0.43000
3400  -0.42000  -0.42000
3500  -0.44000  -0.44000
3600  -0.51000  -0.51000
3700  -0.45000  -0.45000
3800  -0.46000  -0.46000
3900  -0.50000  -0.50000
4000  -0.52000  -0.52000
4100  -0.45000  -0.45000
4200  -0.50000  -0.50000
4300  -0.41000  -0.41000
4400  -0.55000  -0.55000
4500  -0.40000  -0.40000
4600  -0.52000  -0.52000
4700  -0.46000  -0.46000
4800  -0.51000  -0.51000
4900  -0.48000  -0.48000
5000  -0.40000  -0.40000
5100  -0.43000  -0.43000
5200  -0.40000  -0.40000
5300  -0.43000  -0.43000
5400  -0.42000  -0.42000
5500  -0.40000  -0.40000
5600  -0.36000  -0.36000
5700  -0.44000  -0.44000
5800  -0.47000  -0.47000
5900  -0.45000  -0.45000
6000  -0.41000  -0.41000
6100  -0.36000  -0.36000
6200  -0.42000  -0.42000
6300  -0.37000  -0.37000
6400  -0.46000  -0.46000
6500  -0.49000  -0.49000
6600  -0.52000  -0.52000
6700  -0.48000  -0.48000
6800  -0.49000  -0.49000
6900  -0.40000  -0.40000
7000  -0.51000  -0.51000
7100  -0.55000  -0.55000
7200  -0.46000  -0.46000
7300  -0.54000  -0.54000
7400  -0.46000  -0.46000
7500  -0.42000  -0.42000
7600  -0.48000  -0.48000
7700  -0.56000  -0.56000
7800  -0.57000  -0.57000
7900  -0.47000  -0.47000
8000  -0.51000  -0.51000
8100  -0.35000  -0.35000
8200  -0.46000  -0.46000
8300  -0.42000  -0.42000
8400  -0.38000  -0.38000
8500  -0.43000  -0.43000
8600  -0.50000  -0.50000
8700  -0.43000  -0.43000
8800  -0.40000  -0.40000
8900  -0.43000  -0.43000
9000  -0.50000  -0.50000
9100  -0.43000  -0.43000
9200  -0.48000  -0.48000
9300  -0.51000  -0.51000
9400  -0.44000  -0.44000
9500  -0.51000  -0.51000
9600  -0.44000  -0.44000
9700  -0.43000  -0.43000
9800  -0.46000  -0.46000
9900  -0.50000  -0.50000
10000  -0.49000  -0.49000
10100  -0.45000  -0.45000
10200  -0.47000  -0.47000
10300  -0.50000  -0.50000
10400  -0.42000  -0.42000
10500  -0.51000  -0.51000
10600  -0.50000  -0.50000
10700  -0.53000  -0.53000
10800  -0.42000  -0.42000
10900  -0.32000  -0.32000
11000  -0.39000  -0.39000
11100  -0.38000  -0.38000
11200  -0.40000  -0.40000
11300  -0.39000  -0.39000
11400  -0.44000  -0.44000
11500  -0.42000  -0.42000
11600  -0.49000  -0.49000
11700  -0.38000  -0.38000
11800  -0.42000  -0.42000
11900  -0.48000  -0.48000
12000  -0.44000  -0.44000
12100  -0.43000  -0.43000
12200  -0.37000  -0.37000
12300  -0.43000  -0.43000
12400  -0.43000  -0.43000
12500  -0.49000  -0.49000
12600  -0.40000  -0.40000
12700  -0.40000  -0.40000
12800  -0.48000  -0.48000
12900  -0.53000  -0.53000
13000  -0.52000  -0.52000
13100  -0.34000  -0.34000
13200  -0.48000  -0.48000
13300  -0.64000  -0.64000
13400  -0.43000  -0.43000
13500  -0.48000  -0.48000
13600  -0.53000  -0.53000
13700  -0.40000  -0.40000
13800  -0.43000  -0.43000
13900  -0.40000  -0.40000
14000  -0.42000  -0.42000
14100  -0.39000  -0.39000
14200  -0.43000  -0.43000
14300  -0.35000  -0.35000
14400  -0.44000  -0.44000
14500  -0.41000  -0.41000
14600  -0.49000  -0.49000
14700  -0.33000  -0.33000
14800  -0.38000  -0.38000
14900  -0.37000  -0.37000
15000  -0.38000  -0.38000
15100  -0.49000  -0.49000
15200  -0.46000  -0.46000
15300  -0.39000  -0.39000
15400  -0.39000  -0.39000
15500  -0.50000  -0.50000
15600  -0.41000  -0.41000
15700  -0.50000  -0.50000
15800  -0.45000  -0.45000
15900  -0.44000  -0.44000
16000  -0.37000  -0.37000
16100  -0.45000  -0.45000
16200  -0.38000  -0.38000
16300  -0.49000  -0.49000
16400  -0.46000  -0.46000
16500  -0.48000  -0.48000
16600  -0.51000  -0.51000
16700  -0.39000  -0.39000
16800  -0.38000  -0.38000
16900  -0.38000  -0.38000
17000  -0.45000  -0.45000
17100  -0.36000  -0.36000
17200  -0.37000  -0.37000
17300  -0.31000  -0.31000
17400  -0.47000  -0.47000
17500  -0.39000  -0.39000
17600  -0.47000  -0.47000
17700  -0.58000  -0.58000
17800  -0.46000  -0.46000
17900  -0.38000  -0.38000
18000  -0.39000  -0.39000
18100  -0.43000  -0.43000
18200  -0.49000  -0.49000
18300  -0.49000  -0.49000
18400  -0.45000  -0.45000
18500  -0.38000  -0.38000
18600  -0.48000  -0.48000
18700  -0.55000  -0.55000
